優先度,展開区分,都道府県,地域,会社名,業種,主力事業/商品,本社所在地,従業員数,売上規模,地元影響度,地元影響度の理由,AI研修ニーズ仮説,刺さる切り口,アプローチ先仮説,紹介経路仮説,初回メール切り口,公式URL,情報ソースURL,メモ
A,全国食品豪族,愛知県,岡崎市,合資会社八丁味噌(カクキュー),味噌,八丁味噌,岡崎市八帖町,約100名,不明,高,江戸期創業の岡崎八丁味噌代表,販促・観光・EC・海外英語AI,八丁味噌×AI多言語販促,代表・販促,岡崎商工会議所、岡崎信用金庫,八丁味噌×AI多言語提案,https://www.kakukyu.jp/,https://www.kakukyu.jp/company.asp,愛知豪族
A,全国食品豪族,愛知県,岡崎市,株式会社まるや八丁味噌,味噌,八丁味噌,岡崎市八帖町,約30名,不明,高,カクキューと並ぶ八丁味噌の一角,販促・観光・EC・海外英語AI,八丁味噌×AIインバウンド,代表,岡崎商工会議所,八丁味噌×AI提案,http://www.8miso.co.jp/,要確認,愛知豪族
A,全国食品豪族,愛知県,名古屋市,敷島製パン株式会社(Pasco),パン,Pasco食パン・菓子パン,名古屋市東区白壁,約4000名(連結),約1500億円,中,敷島家の名古屋豪族,販促・商品開発・人事・採用AI,Pasco×AI新商品開発,販促部・経営企画・人事部,名古屋商工会議所,Pasco×AI提案,https://www.pasconet.co.jp/,https://www.pasconet.co.jp/company/,名古屋豪族
A,全国食品豪族,三重県,桑名市,株式会社ヤマモリ,調味料・冷凍食品,タイカレー・丼の素・醤油,桑名市,約700名,約300億円,高,三重の調味料・レトルト中堅。創業家・三林家,販促・商品開発・人事・採用・海外英語AI,ヤマモリ×AI多言語販促,経営企画・販促部・人事部,桑名商工会議所、百五銀行,ヤマモリ×AI提案,https://www.yamamori.co.jp/,https://www.yamamori.co.jp/company/,三重豪族
A,全国食品豪族,三重県,伊勢市,株式会社赤福,和菓子,赤福餅,伊勢市宇治中之切町,約1000名,約100億円,高,伊勢代表和菓子。創業家・濱田家、地域経済・観光の象徴,販促・観光・EC・人事・海外英語AI,赤福×AIインバウンド,代表・販促部・人事部,伊勢商工会議所、三十三銀行,赤福×AI事例提案,https://www.akafuku.co.jp/,https://www.akafuku.co.jp/company/,伊勢豪族
A,全国食品豪族,京都府,京都市,聖護院八ッ橋総本店,和菓子,八ッ橋・生八ッ橋,京都市左京区聖護院山王町,約300名,不明,高,京都八ッ橋老舗(江戸期),販促・観光・EC・海外英語AI,京都×AI観光販促,代表・販促,京都商工会議所、京都銀行,京都菓子×AI提案,https://www.shogoin.co.jp/,要確認,京都豪族
A,全国食品豪族,京都府,京都市,株式会社鼓月,和菓子,千寿せんべい,京都市伏見区下鳥羽,約700名,不明,高,京都贈答菓子の有力,販促・観光・EC・採用AI,京都銘菓×AI観光販促,代表・販促部,京都商工会議所、京都銀行,京都銘菓×AI提案,https://www.kogetsu.com/,要確認,京都豪族
A,全国食品豪族,京都府,京都市,株式会社満月(阿闍梨餅本舗),和菓子,阿闍梨餅,京都市左京区鞠小路通,約100名,不明,高,京都銘菓「阿闍梨餅」老舗,販促・観光・EC・海外英語AI,京都×AIインバウンド,代表,京都商工会議所、京都銀行,京都銘菓×AI提案,https://www.ajyarimochi.com/,要確認,京都豪族
A,全国食品豪族,京都府,宇治市,株式会社伊藤久右衛門,茶・菓子,宇治抹茶・抹茶スイーツ,宇治市莵道荒槇,約300名,不明,高,宇治抹茶の老舗・観光,販促・観光・EC・海外英語AI,宇治抹茶×AI多言語販促,代表・販促部,宇治商工会議所、京都銀行,宇治抹茶×AI提案,https://www.itohkyuemon.co.jp/,要確認,宇治豪族
A,全国食品豪族,京都府,宇治市,丸久小山園,抹茶,茶葉・抹茶パウダー,宇治市小倉町,不明,不明,高,宇治抹茶の代表的老舗,販促・EC・海外英語AI,抹茶×AI多言語化,代表,宇治商工会議所、京都銀行,抹茶×AI提案,https://www.marukyu-koyamaen.co.jp/,要確認,宇治抹茶
A,全国食品豪族,京都府,京都市,株式会社マールブランシュ,洋菓子,茶の菓,京都市北区,約500名,不明,高,京都洋菓子の有力ブランド,販促・観光・EC・採用AI,京都洋菓子×AIインバウンド,代表・販促部,京都商工会議所、京都銀行,京都×AI提案,https://www.malebranche.co.jp/,要確認,京都豪族
A,全国食品豪族,兵庫県,神戸市,株式会社カネテツデリカフーズ,水産練り製品,ほぼカニ・笹かまぼこ,神戸市東灘区青木,約700名,不明,高,神戸の練り物老舗,販促・商品開発・人事AI,「ほぼカニ」×AI販促,代表・販促部,神戸商工会議所,神戸練物×AI提案,https://www.kanetetsu.com/,要確認,神戸豪族
A,全国食品豪族,兵庫県,姫路市,株式会社ヤヱガキ食品(八重垣),調味料・酒,清酒・調味料,姫路市林田町,約400名,不明,高,播州老舗醸造,販促・営業AI,醸造×AI多言語化,代表・販促,姫路商工会議所、但馬銀行,播州×AI提案,https://www.yaegaki.co.jp/,要確認,兵庫豪族
A,全国食品豪族,兵庫県,たつの市,ヒガシマル醤油株式会社,醤油・調味料,うすくち醤油・うどんスープ,たつの市龍野町,約400名,約350億円,中,播州代表醤油老舗。創業家・浅井家,販促・商品開発・人事・海外英語AI,うどんスープ×AI多言語販促,販促部・経営企画・人事部,たつの商工会議所、但馬銀行,播州×AI事例,https://www.higashimaru.co.jp/,https://www.higashimaru.co.jp/company/,兵庫豪族
A,全国食品豪族,兵庫県,神戸市,株式会社モロゾフ,洋菓子,プリン・チョコレート,神戸市東灘区,約2000名(連結),約300億円,中,神戸洋菓子代表。創業家系,販促・人事・採用AI,神戸×AI観光販促,販促部・経営企画,神戸商工会議所,神戸×AI提案,https://www.morozoff.co.jp/,要確認,神戸豪族
A,全国食品豪族,兵庫県,神戸市,株式会社ユーハイム,洋菓子,バウムクーヘン,神戸市中央区港島中町,約1500名,約300億円,中,神戸洋菓子代表(大正期),販促・店舗・人事AI,神戸×AI多言語販促,販促部・経営企画,神戸商工会議所,神戸×AI提案,https://www.juchheim.co.jp/,要確認,神戸豪族
A,全国食品豪族,鳥取県,米子市,株式会社寿スピリッツ,菓子(土産菓子),因幡の白うさぎ・九十九島せんべい,米子市旗ヶ崎,約2300名(連結),約400億円,中,土産菓子大手。創業家・河越家,販促・観光・人事・採用AI,土産菓子×AI観光販促,販促部・経営企画・人事部,米子商工会議所、山陰合同銀行,寿スピリッツ×AI事例,https://www.kotobukispirits.co.jp/,https://www.kotobukispirits.co.jp/company/,鳥取豪族
A,全国食品豪族,島根県,松江市,株式会社彩雲堂,和菓子,若草・菜種の里,松江市天神町,約100名,不明,高,松江茶人文化和菓子(明治期),販促・観光・EC・採用AI,松江×AI観光販促,代表・販促,松江商工会議所、山陰合同銀行,松江×AI提案,https://www.saiundo.co.jp/,要確認,島根豪族
A,全国食品豪族,島根県,松江市,株式会社風流堂,和菓子,山川・朝汐,松江市寺町,約100名,不明,高,松江の和菓子老舗,販促・観光・ECのAI活用,松江×AI観光販促,代表,松江商工会議所、山陰合同銀行,松江×AI提案,https://www.furyudo.jp/,要確認,島根豪族
A,全国食品豪族,岡山県,赤磐市,株式会社宗家源吉兆庵,和菓子,陸の宝もの・福渡せんべい,赤磐市,約2000名,約300億円,中,岡山発の和菓子大手。創業家系,販促・人事・採用・海外英語AI,源吉兆庵×AI多言語販促,経営企画・販促部・人事部,岡山商工会議所、中国銀行,源吉兆庵×AI事例,https://www.kitchoan.co.jp/,要確認,岡山豪族
A,全国食品豪族,岡山県,岡山市,オハヨー乳業株式会社,乳製品,プリン・ヨーグルト,岡山市北区,約700名,約500億円,中,岡山本社の乳製品中堅。創業家系,販促・商品開発・人事AI,オハヨー×AI販促・採用,販促部・経営企画,岡山商工会議所、中国銀行,乳業×AI提案,https://www.ohayo-milk.co.jp/,要確認,岡山豪族
A,全国食品豪族,広島県,広島市,株式会社にしき堂,和菓子,もみじ饅頭,広島市東区光町,約400名,約100億円,高,広島土産代表「にしき堂」,販促・観光・EC・海外英語AI,広島×AIインバウンド,代表・販促部,広島商工会議所、広島銀行,広島×AI事例,https://www.nisikido.co.jp/,要確認,広島豪族
A,全国食品豪族,広島県,廿日市市,株式会社藤い屋,和菓子,もみじ饅頭,廿日市市宮島口,約300名,不明,高,宮島もみじ饅頭老舗,販促・観光・EC・海外英語AI,宮島×AIインバウンド,代表・販促,広島商工会議所、広島銀行,宮島×AI提案,https://www.fujiiya.co.jp/,要確認,広島豪族
A,全国食品豪族,広島県,広島市,オタフクソース株式会社,ソース・調味料,お好みソース・たこ焼ソース,広島市西区商工センター,約700名,約400億円,高,広島代表ソース。創業家・佐々木家,販促・営業・採用・人事・海外英語AI,お好みソース×AI多言語販促,販促部・経営企画・人事部,広島商工会議所、広島銀行,オタフク×AI事例,https://www.otafuku.co.jp/,https://www.otafuku.co.jp/corp/,広島代表豪族
A,全国食品豪族,山口県,下関市,株式会社林兼産業,水産加工,フィッシュソーセージ・業務用,下関市大和町,約700名,約500億円,中,下関水産大手,業務用営業・採用・人事AI,水産BtoB×AI業務効率化,営業本部・経営企画,下関商工会議所、山口銀行,下関水産×AI提案,https://www.hayashikane.co.jp/,要確認,山口豪族
A,全国食品豪族,香川県,坂出市,鎌田醤油株式会社,醤油・調味料,だし醤油,坂出市,約100名,不明,高,讃岐のだし醤油老舗,販促・観光・EC・海外英語AI,讃岐だし×AI多言語販促,代表・販促,坂出商工会議所、百十四銀行,讃岐×AI提案,https://www.kamada.co.jp/,要確認,香川豪族
A,全国食品豪族,愛媛県,四国中央市,株式会社ハタダ,和菓子,栗タルト・御栗タルト,四国中央市三島中央,約500名,不明,高,愛媛代表菓子,販促・観光・EC・海外英語AI,愛媛×AI観光販促,代表・販促,四国中央/松山商工会議所、伊予銀行,愛媛×AI提案,https://www.hatada.jp/,要確認,愛媛豪族
A,全国食品豪族,愛媛県,松山市,株式会社一六本舗,和菓子,一六タルト,松山市勝山町,約300名,不明,高,愛媛代表菓子,販促・観光・EC・海外英語AI,松山×AI観光販促,代表,松山商工会議所、伊予銀行,松山×AI提案,https://www.itm-gp.co.jp/,要確認,愛媛豪族
A,全国食品豪族,愛媛県,伊予市,株式会社マルトモ,鰹節・調味料,鰹節・だしパック,伊予市米湊,約400名,不明,高,愛媛鰹節大手(明治期),販促・営業・人事・海外英語AI,鰹節×AI業務用提案,営業本部・販促部,松山商工会議所、伊予銀行,鰹節×AI提案,https://www.marutomo.co.jp/,要確認,愛媛豪族
A,全国食品豪族,愛媛県,伊予市,ヤマキ株式会社,鰹節・調味料,鰹節・めんつゆ・白だし,伊予市米湊,約900名,約700億円,中,愛媛鰹節大手。創業家・城戸家,販促・営業・人事・海外英語AI,鰹節×AI多言語販促,販促部・経営企画・人事部,松山商工会議所、伊予銀行,ヤマキ×AI事例,https://www.yamaki.co.jp/,https://www.yamaki.co.jp/company/,愛媛豪族
A,全国食品豪族,和歌山県,有田市,株式会社早和果樹園,農産物・加工,有田みかんジュース・加工品,有田市,約100名,不明,高,有田みかんの代表生産加工,販促・EC・海外英語AI,みかんジュース×AI多言語販促,代表・販促,有田商工会議所、紀陽銀行,みかん×AI提案,https://www.sowakajuen.com/,要確認,和歌山豪族
A,全国食品豪族,福岡県,糟屋郡久山町,株式会社久原本家,調味料・出汁,茅乃舎だし・調味料,糟屋郡久山町大字久原,約900名,約400億円,高,「茅乃舎」福岡発。創業家・河邉家,販促・観光・EC・人事・海外英語AI,茅乃舎×AI多言語販促,代表・販促部・人事部,福岡商工会議所、福岡銀行,茅乃舎×AI事例,https://www.kayanoya.com/,https://www.kubarahonke.com/,福岡代表
A,全国食品豪族,福岡県,福岡市,株式会社如水庵,和菓子,博多銘菓,福岡市博多区博多駅前,約300名,不明,高,博多代表和菓子,販促・観光・EC・海外英語AI,博多×AI観光販促,代表,福岡商工会議所、福岡銀行,博多×AI提案,https://www.josuian.com/,要確認,福岡豪族
A,全国食品豪族,福岡県,福岡市,株式会社ふくや,辛子明太子,辛子明太子,福岡市中央区荒津,約600名,不明,高,博多明太子の元祖系。創業家・川原家,販促・観光・EC・海外英語AI,明太子×AI多言語販促,代表・販促部,福岡商工会議所、福岡銀行,明太子×AI事例,https://www.fukuya.com/,要確認,福岡代表
A,全国食品豪族,福岡県,福岡市,株式会社やまや,辛子明太子・食品,辛子明太子・惣菜,福岡市博多区東光,約2000名(連結),約500億円,中,博多明太子大手,販促・商品開発・人事・海外英語AI,明太子×AI多言語販促,販促部・経営企画・人事部,福岡商工会議所、福岡銀行,やまや×AI提案,https://www.shokuhin-yamaya.co.jp/,要確認,福岡豪族
A,全国食品豪族,佐賀県,佐賀市,株式会社村岡屋,和菓子,さが錦・丸ぼうろ,佐賀市鍋島町,不明,不明,高,佐賀銘菓老舗,販促・観光・EC・海外英語AI,佐賀×AI観光販促,代表,佐賀商工会議所、佐賀銀行,佐賀×AI提案,https://www.muraokaya.co.jp/,要確認,佐賀豪族
A,全国食品豪族,長崎県,長崎市,株式会社文明堂総本店,菓子,カステラ,長崎市江戸町,約300名,不明,高,長崎カステラ代表系(明治期),販促・観光・EC・海外英語AI,カステラ×AI多言語販促,代表・販促,長崎商工会議所、十八親和銀行,カステラ×AI事例,https://www.bunmeido-sohonten.co.jp/,要確認,長崎豪族
A,全国食品豪族,長崎県,長崎市,株式会社福砂屋,菓子,カステラ,長崎市船大工町,約300名,不明,高,長崎カステラ最古参(寛永期),販促・観光・EC・海外英語AI,カステラ×AIインバウンド,代表・販促,長崎商工会議所、十八親和銀行,カステラ×AI事例,https://www.fukusaya.co.jp/,要確認,長崎豪族
A,全国食品豪族,熊本県,熊本市,株式会社お菓子の香梅,和菓子,誉の陣太鼓,熊本市東区上南部,約500名,不明,高,熊本代表菓子,販促・観光・EC・人事AI,熊本×AI観光販促,代表・販促部,熊本商工会議所、肥後銀行,熊本×AI提案,https://www.kobai.jp/,要確認,熊本豪族
A,全国食品豪族,大分県,臼杵市,フンドーキン醤油株式会社,醤油・味噌・調味料,醤油・味噌・ドレッシング,臼杵市臼杵,約400名,約150億円,高,臼杵醸造老舗。創業家・小手川家、地域経済の中核,販促・営業・人事・海外英語AI,九州醤油×AI多言語販促,販促部・経営企画・人事部,臼杵商工会議所、大分銀行,フンドーキン×AI事例,https://www.fundokin.co.jp/,https://www.fundokin.co.jp/company/,大分代表豪族
A,全国食品豪族,大分県,臼杵市,フジジン株式会社(富士甚醤油),醤油・調味料,醤油・味噌・つゆ,臼杵市諏訪,約300名,不明,高,臼杵醸造老舗。フンドーキンと並ぶ,販促・営業・人事・海外英語AI,九州醤油×AI多言語販促,代表・販促部・人事部,臼杵商工会議所、大分銀行,フジジン×AI提案,https://www.fujijin.co.jp/,要確認,大分豪族
A,全国食品豪族,大分県,大分市,株式会社菊家,和菓子,ぷりんどら・和洋菓子,大分市畑中,約300名,不明,高,大分代表菓子,販促・観光・EC・採用AI,大分×AI観光販促,代表・販促,大分商工会議所、大分銀行,大分×AI提案,https://www.kikuya-oita.co.jp/,要確認,大分豪族
A,全国食品豪族,宮崎県,都城市,霧島酒造株式会社,焼酎,黒霧島・赤霧島,都城市志比田町,約700名,約500億円,高,九州焼酎代表。地域経済中核,販促・観光・海外英語AI・採用,焼酎×AI多言語販促,販促部・人事部,都城商工会議所、宮崎銀行,焼酎×AI事例,https://www.kirishima.co.jp/,要確認,焼酎大手豪族
A,全国食品豪族,鹿児島県,枕崎市,株式会社薩摩酒造,焼酎,さつま白波,枕崎市立神本町,約300名,不明,高,薩摩焼酎代表,販促・観光・海外英語AI,薩摩×AI多言語販促,代表・販促,鹿児島商工会議所、鹿児島銀行,薩摩×AI提案,https://www.satsuma.co.jp/,要確認,鹿児島豪族
A,全国食品豪族,沖縄県,中頭郡西原町,株式会社オキコ,パン・菓子,オキコパン・ジャーマンケーキ,中頭郡西原町,約500名,不明,高,沖縄県内パン菓子代表,販促・営業・採用AI,沖縄パン×AI販促,販促部・人事部,那覇商工会議所、沖縄銀行,沖縄パン×AI事例,https://www.okiko.co.jp/,要確認,沖縄豪族
A,全国食品豪族,沖縄県,中頭郡読谷村,株式会社御菓子御殿,沖縄菓子,紅いもタルト,中頭郡読谷村宇座,約300名,不明,高,沖縄観光菓子代表,販促・観光・EC・海外英語AI,沖縄観光×AIインバウンド,代表・販促,那覇商工会議所、沖縄銀行,沖縄観光菓子×AI提案,https://okashigoten.co.jp/,要確認,沖縄豪族
A,全国食品豪族,神奈川県,小田原市,株式会社鈴廣蒲鉾本店,水産練り製品,小田原かまぼこ,小田原市風祭,約500名,不明,高,小田原かまぼこ老舗代表,販促・観光・EC・海外英語AI,小田原×AIインバウンド,代表・販促,小田原商工会議所、横浜銀行,小田原×AI事例,https://kamaboko.com/,要確認,神奈川豪族
A,全国食品豪族,埼玉県,川越市,株式会社龜屋,和菓子,川越銘菓・芋菓子,川越市仲町,約100名,不明,高,川越観光代表和菓子,販促・観光・EC・採用AI,川越×AI観光販促,代表・販促,川越商工会議所、埼玉りそな,川越×AI提案,https://www.koedo-kameya.com/,要確認,埼玉豪族
A,全国食品豪族,岐阜県,中津川市,株式会社恵那寿や,和菓子,栗きんとん,中津川市,約100名,不明,高,中津川栗きんとん老舗,販促・観光・EC・採用AI,中津川×AI観光販促,代表,中津川商工会議所、十六銀行,中津川×AI提案,https://www.enasuya.com/,要確認,岐阜豪族
A,全国食品豪族,大阪府,堺市,株式会社小島屋,和菓子,けし餅,堺市堺区,不明,不明,高,堺の伝統菓子老舗(江戸期),販促・観光・EC・採用AI,堺×AI観光販促,代表,堺商工会議所、池田泉州銀行,堺×AI提案,https://www.keshimochi.com/,要確認,大阪豪族
A,全国食品豪族,長崎県,長崎市,株式会社岩崎本舗,食品(角煮まんじゅう),長崎角煮まんじゅう,長崎市,約100名,不明,高,長崎角煮まんじゅうの代表,販促・観光・EC・海外英語AI,長崎×AIインバウンド,代表,長崎商工会議所,長崎×AI提案,https://0806.jp/,要確認,長崎豪族
A,全国食品豪族,熊本県,熊本市,株式会社フジバンビ,菓子,黒糖ドーナツ棒,熊本市西区池亀町,約400名,不明,高,熊本菓子の有力,販促・観光・EC・採用AI,熊本×AI観光販促,代表・販促,熊本商工会議所、肥後銀行,熊本×AI提案,https://www.fujibambi.com/,要確認,熊本豪族
A,全国食品豪族,沖縄県,糸満市,株式会社オキハム(沖縄ハム総合食品),食肉加工・沖縄食品,ポーク・チャンプルー素材,糸満市西崎町,約400名,不明,高,沖縄食肉加工の有力,販促・営業・採用AI,沖縄食品×AI観光販促,代表・販促部,那覇商工会議所、沖縄銀行,沖縄食品×AI提案,https://www.okiham.co.jp/,要確認,沖縄豪族
A,全国食品豪族,長野県,小布施町,株式会社小布施堂,和菓子,栗菓子・栗ようかん,上高井郡小布施町,約100名,不明,高,小布施栗菓子の代表,販促・観光・EC・海外英語AI,小布施×AIインバウンド,代表・販促,小布施商工会、八十二銀行,小布施×AI提案,https://www.obusedo.com/,要確認,長野豪族
A,全国食品豪族,徳島県,徳島市,日新酒類株式会社,酒・調味料,清酒・本格焼酎・調味料,板野郡上板町,約100名,不明,高,徳島の地場酒類老舗,販促・観光・EC・採用AI,徳島×AI地酒販促,代表・販促,徳島商工会議所、阿波銀行,徳島地酒×AI提案,https://www.nishin-shurui.co.jp/,要確認,徳島豪族
A,全国食品豪族,大阪府,大阪市,株式会社青木松風庵,和菓子,月化粧,泉南郡岬町,約700名,不明,高,大阪南部の和菓子有力ブランド,販促・観光・EC・採用AI,大阪×AI観光販促,代表・販促部,大阪商工会議所、池田泉州銀行,大阪×AI提案,https://www.shofuan.co.jp/,要確認,大阪豪族
A,全国食品豪族,秋田県,湯沢市,株式会社雄勝野きむらや,漬物,いぶりがっこ,湯沢市岩崎,不明,不明,高,いぶりがっこ代表,販促・観光・EC・海外英語AI,いぶりがっこ×AI観光販促,代表,湯沢商工会議所、北都銀行,秋田漬物×AI提案,https://kimuraya.shop-pro.jp/,要確認,秋田豪族
A,全国食品豪族,広島県,尾道市,株式会社八天堂,菓子(クリームパン),くりーむパン,三原市本郷,約500名,約100億円,高,広島発のクリームパンブランド,販促・海外・採用・人事AI,八天堂×AI多言語販促,販促部・経営企画・人事部,広島商工会議所、広島銀行,八天堂×AI事例提案,https://hattendo.jp/,要確認,広島豪族
A,全国食品豪族,熊本県,人吉市,株式会社球磨焼酎酒造組合(連携先),焼酎,球磨焼酎,人吉市,組合員多数,不明,高,球磨焼酎産地組合。各蔵元への波及力大,各蔵元向けAI研修パッケージ,球磨焼酎×AI多言語販促,組合事務局・人吉商工会議所,人吉商工会議所、肥後銀行,球磨焼酎組合×AI提案,要確認,要確認,組合経由で蔵元への波及狙い
